frame,track_id,vehicle,confidence,center_x,center_y
28,87,car,0.307,309,563
28,14,car,0.328,876,430
29,52,car,0.655,207,677
29,66,car,0.783,427,671
29,61,car,0.498,696,505
29,27,truck,0.33,307,559
29,107,car,0.709,622,613
29,110,car,0.679,987,639
29,87,car,0.322,306,560
29,14,car,0.342,876,430
29,10,car,0.525,752,396
29,24,car,0.589,847,685
30,52,car,0.734,204,669
30,61,car,0.34,696,506
30,27,car,0.323,306,558
30,107,car,0.711,622,637
30,110,car,0.499,994,655
30,14,car,0.399,876,429
30,114,car,0.701,941,580
30,116,car,0.465,476,562
30,117,car,0.509,625,555
30,24,car,0.64,829,676
31,52,car,0.649,200,655
31,107,car,0.69,618,641
31,110,car,0.683,977,661
31,114,car,0.456,942,592
31,24,car,0.681,838,682
31,120,car,0.563,439,623
32,107,car,0.577,603,638
32,114,car,0.672,935,599
32,120,car,0.765,442,615
32,99,car,0.336,762,450
32,1,car,0.422,821,645
32,117,car,0.434,624,568
33,107,car,0.675,601,634
33,120,car,0.762,444,606
33,129,car,0.487,180,626
33,131,car,0.528,794,580
33,1,car,0.833,810,648
33,13,car,0.397,435,413
33,14,car,0.406,876,429
34,120,car,0.735,439,600
34,131,car,0.564,784,587
34,1,car,0.696,794,653
34,14,car,0.467,876,429
34,22,car,0.501,680,425
34,117,car,0.673,620,563
35,131,car,0.846,768,566
35,117,car,0.556,614,551
35,129,car,0.605,186,638
36,131,car,0.596,750,560
36,117,car,0.673,614,554
36,158,car,0.459,722,545
36,129,car,0.841,196,664
36,87,truck,0.331,313,558
36,27,car,0.426,312,557
36,14,car,0.455,876,428
37,131,car,0.869,767,561
37,117,car,0.672,612,549
37,158,car,0.381,723,549
37,162,car,0.734,512,522
37,27,car,0.447,313,557
37,14,car,0.483,876,428
37,52,car,0.782,177,632
38,131,car,0.801,751,561
38,117,car,0.614,613,550
38,158,car,0.475,718,537
38,162,car,0.632,511,519
38,27,car,0.403,313,558
38,14,car,0.475,876,427
38,173,car,0.63,790,511
38,175,car,0.399,717,520
38,13,car,0.312,436,413
39,131,car,0.695,744,563
39,117,car,0.636,613,549
39,158,car,0.47,716,531
39,162,car,0.404,514,520
39,27,truck,0.382,315,558
39,14,car,0.426,876,428
39,173,car,0.579,788,510
39,175,car,0.403,716,518
39,176,car,0.73,1243,583
39,180,car,0.357,314,558
